name	old_url	reason	final_url
Adoring Pure	https://camellia.iflora.cn/Cutivars/Detail?latin=Adoring%20Pure	redirect_404	https://camellia.iflora.cn/Error/Error404
Ai-Ai-Gasa	https://camellia.iflora.cn/Cutivars/Detail?latin=Ai-Ai-Gasa	redirect_404	https://camellia.iflora.cn/Error/Error404
Aka-Daikagura	https://camellia.iflora.cn/Cutivars/Detail?latin=Aka-Daikagura	redirect_404	https://camellia.iflora.cn/Error/Error404
Alabama Beauty	https://camellia.iflora.cn/Cutivars/Detail?latin=Alabama%20Beauty	redirect_404	https://camellia.iflora.cn/Error/Error404
Alexine Welch	https://camellia.iflora.cn/Cutivars/Detail?latin=Alexine%20Welch	redirect_404	https://camellia.iflora.cn/Error/Error404
Alexis Ryan Maxwell	https://camellia.iflora.cn/Cutivars/Detail?latin=Alexis%20Ryan%20Maxwell	redirect_404	https://camellia.iflora.cn/Error/Error404
Alice B. Dupont	https://camellia.iflora.cn/Cutivars/Detail?latin=Alice%20B.%20Dupont	redirect_404	https://camellia.iflora.cn/Error/Error404
Alice C	https://camellia.iflora.cn/Cutivars/Detail?latin=Alice%20C	redirect_404	https://camellia.iflora.cn/Error/Error404
Alice Jernigan	https://camellia.iflora.cn/Cutivars/Detail?latin=Alice%20Jernigan	redirect_404	https://camellia.iflora.cn/Error/Error404
Alice Parkes	https://camellia.iflora.cn/Cutivars/Detail?latin=Alice%20Parkes	redirect_404	https://camellia.iflora.cn/Error/Error404
Allan Raper	https://camellia.iflora.cn/Cutivars/Detail?latin=Allan%20Raper	redirect_404	https://camellia.iflora.cn/Error/Error404
Allure	https://camellia.iflora.cn/Cutivars/Detail?latin=Allure	redirect_404	https://camellia.iflora.cn/Error/Error404
Almost Orange	https://camellia.iflora.cn/Cutivars/Detail?latin=Almost%20Orange	redirect_404	https://camellia.iflora.cn/Error/Error404
Amabilis Blush	https://camellia.iflora.cn/Cutivars/Detail?latin=Amabilis%20Blush	redirect_404	https://camellia.iflora.cn/Error/Error404
Amazing Grace Abbott	https://camellia.iflora.cn/Cutivars/Detail?latin=Amazing%20Grace%20Abbott	redirect_404	https://camellia.iflora.cn/Error/Error404
Amy V. Thomas	https://camellia.iflora.cn/Cutivars/Detail?latin=Amy%20V.%20Thomas	redirect_404	https://camellia.iflora.cn/Error/Error404
Andre La Salle	https://camellia.iflora.cn/Cutivars/Detail?latin=Andre%20La%20Salle	redirect_404	https://camellia.iflora.cn/Error/Error404
Ane Hood	https://camellia.iflora.cn/Cutivars/Detail?latin=Ane%20Hood	redirect_404	https://camellia.iflora.cn/Error/Error404
Ann Reinhard	https://camellia.iflora.cn/Cutivars/Detail?latin=Ann%20Reinhard	redirect_404	https://camellia.iflora.cn/Error/Error404
Anne Hazelwood	https://camellia.iflora.cn/Cutivars/Detail?latin=Anne%20Hazelwood	redirect_404	https://camellia.iflora.cn/Error/Error404
Anne Louise Howard	https://camellia.iflora.cn/Cutivars/Detail?latin=Anne%20Louise%20Howard	redirect_404	https://camellia.iflora.cn/Error/Error404
Annie R. Cantey	https://camellia.iflora.cn/Cutivars/Detail?latin=Annie%20R.%20Cantey	redirect_404	https://camellia.iflora.cn/Error/Error404
Antique Rose	https://camellia.iflora.cn/Cutivars/Detail?latin=Antique%20Rose	redirect_404	https://camellia.iflora.cn/Error/Error404
Aoi-Sangosho (Blue Coral Reef)	https://camellia.iflora.cn/Cutivars/Detail?latin=Aoi-Sangosho%20%28Blue%20Coral%20Reef%29	redirect_404	https://camellia.iflora.cn/Error/Error404
Aoi-Sangoshô (Blue Coral Reef)	https://camellia.iflora.cn/Cutivars/Detail?latin=Aoi-Sangosh%C3%B4%20%28Blue%20Coral%20Reef%29	redirect_404	https://camellia.iflora.cn/Error/Error404
Apricot Muffin	https://camellia.iflora.cn/Cutivars/Detail?latin=Apricot%20Muffin	redirect_404	https://camellia.iflora.cn/Error/Error404
April Dawn Blush	https://camellia.iflora.cn/Cutivars/Detail?latin=April%20Dawn%20Blush	redirect_404	https://camellia.iflora.cn/Error/Error404
April Melody	https://camellia.iflora.cn/Cutivars/Detail?latin=April%20Melody	redirect_404	https://camellia.iflora.cn/Error/Error404
April Pink	https://camellia.iflora.cn/Cutivars/Detail?latin=April%20Pink	redirect_404	https://camellia.iflora.cn/Error/Error404
Arabian Nights Variegated	https://camellia.iflora.cn/Cutivars/Detail?latin=Arabian%20Nights%20Variegated	redirect_404	https://camellia.iflora.cn/Error/Error404
Ariels Song	https://camellia.iflora.cn/Cutivars/Detail?latin=Ariels%20Song	redirect_404	https://camellia.iflora.cn/Error/Error404
Arlene Rand	https://camellia.iflora.cn/Cutivars/Detail?latin=Arlene%20Rand	redirect_404	https://camellia.iflora.cn/Error/Error404
Aromatica	https://camellia.iflora.cn/Cutivars/Detail?latin=Aromatica	redirect_404	https://camellia.iflora.cn/Error/Error404
Art's Ruby	https://camellia.iflora.cn/Cutivars/Detail?latin=Art%27s%20Ruby	redirect_404	https://camellia.iflora.cn/Error/Error404
Asahi-Gai	https://camellia.iflora.cn/Cutivars/Detail?latin=Asahi-Gai	redirect_404	https://camellia.iflora.cn/Error/Error404
Ashley Black	https://camellia.iflora.cn/Cutivars/Detail?latin=Ashley%20Black	redirect_404	https://camellia.iflora.cn/Error/Error404
Ashton's Fragrant Jewel	https://camellia.iflora.cn/Cutivars/Detail?latin=Ashton%27s%20Fragrant%20Jewel	redirect_404	https://camellia.iflora.cn/Error/Error404
