Aka-kamo-honnami  |  best: Kamo-Hon-Ami (78)
Firedance Var  |  best: Fire Dance (78)
Fukiage-shibori  |  best: Iwane-Shibori (78)
Magalhaes Var  |  best: Magalhaes Variegated (78)
Nitidissima  |  best: Candidissima (78)
Awajishima  |  best: Arajishi (77)
Chiyoda-nishiki  |  best: Choyo-No-Nishiki (77)
Fircone Var  |  best: Fircone (77)
Shibori-kingyo-tsubaki  |  best: Kingyo-Tsubaki (77)
Shiranui  |  best: Shira Yuki (77)
Ki-renge  |  best: Irene (76)
Tama Pinwheel  |  best: Pinwheel (76)
Grand Tinsie  |  best: Grand Finale (75)
Park Leo  |  best: Sparkler (75)
Tama Grande  |  best: Fiesta Grande (75)
Dewatairin (Higo)  |  best: Dewatairin (74)
Himuro-setsugekka  |  best: Setsugekka (74)
House of Horus  |  best: House Of Gold (74)
Sakura-tsukasa  |  best: Kishu-Tsukasa (74)
Shirobokuhan  |  best: Momoiro Bokuhan (74)
Edithae  |  best: Edith Mazzei (73)
Hana-akari  |  best: Hana-Fuki (73)
Ki-no-joman  |  best: Ki-No-Gozen (72)
Loki Schmidt  |  best: Lori Smith (72)
Seiōbo  |  best: Seiso (72)
Shōwa-nishiki  |  best: Kara-Nishiki (72)
Yuri-shibori  |  best: Iwane-Shibori (72)
Betty Lewis Red  |  best: Betty Theisen (71)
Chidan  |  best: Sheridan (71)
Hiten  |  best: White Nun (71)
Shūran  |  best: Sheridan (71)
Tsugawa-shibori  |  best: Iwane-Shibori (71)
Tsuki-no-wa  |  best: Akatsuki-No-Kaori (71)
Ay Ay Ay  |  best: Ay-Ay-Ay! (70)
Gypsy Girl  |  best: Gypsy Rose (70)
Oo la la  |  best: Oo-La-La! (70)
Shizukiyama  |  best: Sukiya (70)
Sunnyvale Circus  |  best: Sunnyvale Carnival (70)
Dragon fireball / Longhuozhu  |  best: Dragon Fireball (69)
Nioi-fubuki  |  best: Nioi Fukurin (69)
Tomo-no-ura Var  |  best: Tama-No-Ura (69)
Amplexiaulis White  |  best: Campanulata White (68)
Camellia parviovata  |  best: Camellia City (68)
Caihuang  |  best: Capitan (66)
Donald Dean  |  best: Al Ewan (66)
Huabaozhu  |  best: Huanghainan Baozhu (66)
Jinpan Lizhi  |  best: Jane Polizzi (66)
Kokinran  |  best: Kiandra (66)
Miyakodori  |  best: Miyako-No-Haru (66)
Pitardii  |  best: Isaribi (66)
Shōkaen  |  best: Ohkan (66)
Stained Glass  |  best: Sporting Class (66)
Sukiya-unryū  |  best: Sukiya (66)
Tarō'an  |  best: T'Ang (66)
Tsukimi-no-en  |  best: Ki-No-Gozen (66)
Wuse Furong  |  best: Jinrui Furong (66)
Xuejiao  |  best: Fenejiao (66)
Yilanjiao  |  best: Finlandia (66)
Yutianshi  |  best: Tinsie (66)
Amplexicaulis A  |  best: Mexicali Rose (64)
Asahi no minato  |  best: Fashionata (64)
Ikutoshitsuki  |  best: Kuro-Tsubaki (64)
Lixiangde Yü  |  best: Lillian Gordy (64)
Sado-benifukurin  |  best: Nioi Fukurin (64)
Tsubame-gaeshi  |  best: Itsukamachi (64)
Hakusen  |  best: Haku-Rakuten (63)
Hime no ka  |  best: Hide 'n Seek (63)
Huaheling  |  best: Heraldings (63)
Camellia perpetua S. Y  |  best: Camellia City (62)
Kasenzan  |  best: Kalarena (62)
Nitten  |  best: Little 'Un (62)
Shirobotanzaki-kingyoba-tsubaki  |  best: Kingyo-Tsubaki (62)
Etenraku  |  best: Tenju (61)
Fubuki-shiratama  |  best: Yuki-Shiro (61)
Momotarō  |  best: Moore (61)
Rōranka  |  best: Ramona (61)
Biyu  |  best: Kiyosu (60)
Kurume-kingyo  |  best: Kakure-Iso (60)
Nanpū  |  best: Nancy (60)
Xinzi  |  best: India (60)
Secchū-no-ka？  |  best: Showa-No-Sakae (59)
Daikanhō  |  best: Daikagura (58)
Aoi-sangoshō  |  best: Joni Sans (57)
C.perpetua  |  best: Pearl's Pet (57)
Fujimusume  |  best: Fuji (57)
Tenuivalvis  |  best: Centennial (57)
Tsushima-no-musume  |  best: Hi-No-Maru (57)
Panaché de Gaujacq  |  best: Blanche Graham (56)
Pitardii yunnanica  |  best: Paradise Donna (56)
Seigen-sakurahime  |  best: Sode-Gakushi (55)
Shibori-Egao Corkscrew  |  best: Wirlinga Cascade (52)
No Koensis/ nokoensis  |  best: Governor Kennon (50)
